,3D RMSE,3D RMSE,3D RMSE,3D Mean Error,3D Mean Error,3D Mean Error,3D STD,3D STD,3D STD,2D RMSE,2D RMSE,2D RMSE,2D Mean Error,2D Mean Error,2D Mean Error,2D STD,2D STD,2D STD,U RMSE,U RMSE,U RMSE,U Mean Error,U Mean Error,U Mean Error,U STD,U STD,U STD,TEC RMSE,TEC RMSE,TEC RMSE,TEC Mean Error,TEC Mean Error,TEC Mean Error,TEC STD,TEC STD,TEC STD
,quiet phase,main phase,recovery phase,quiet phase,main phase,recovery phase,quiet phase,main phase,recovery phase,quiet phase,main phase,recovery phase,quiet phase,main phase,recovery phase,quiet phase,main phase,recovery phase,quiet phase,main phase,recovery phase,quiet phase,main phase,recovery phase,quiet phase,main phase,recovery phase,quiet phase,main phase,recovery phase,quiet phase,main phase,recovery phase,quiet phase,main phase,recovery phase
Klobuchar,3.1114677458329782,12.367285365046769,6.100269940201404,2.399167313618646,10.164828757247447,4.8954084572757095,1.981218749816094,7.04457263688403,3.6398172179050734,2.3095443585988895,8.649369276723618,3.5380136937576023,1.6834329335666638,6.780936604756341,2.4178090820942924,1.5811542310979947,5.369402913491035,2.582971184461545,2.085002731178788,8.839579085871087,4.9694821104526055,1.4032415241635683,6.377670212774217,3.8115842793788097,1.5421250318589959,6.120741872719515,3.188663940791004,9.283177436687476,29.86790518012332,18.337330233452505,5.994249951759597,23.407138417995345,15.168557767295686,7.088466042583087,18.55256399880199,10.30400579148251
IRI2020,4.133266996319072,15.189521497108354,5.416576656229845,3.530332714640203,13.580614621447296,3.425176174367458,2.1495690235025293,6.803563023508247,4.1961256948951835,2.1337110170957336,8.474610074255931,3.3438001852312786,1.5055596620676919,6.420889591789612,2.138326271328675,1.5119566159220088,5.530930551067149,2.570712048460181,3.539939739371952,12.605655373697816,4.261256034793186,3.063670297320161,10.701690613086317,2.4142706367264686,1.7734423215044155,6.661558783214092,3.511353056401722,9.177840217441258,47.11722463822655,8.529832696592532,7.030978693415385,37.74505767722474,4.886364987972028,5.898990563615193,28.201834666419856,6.9915293774810205
GloTEC,3.269761176917776,9.327538564704788,3.376372887700197,2.343734744863674,7.0558283598278155,2.2759738982725213,2.2799661400550515,6.100677161816102,2.4939600420173407,2.3959158498366517,5.765420611268056,2.334652677200173,1.666538861867487,4.370632899741908,1.5593865865665073,1.7213544031906702,3.7600057021935704,1.7375029774922388,2.2250675033760743,7.33231892727127,2.4391167978674217,1.3471222492145953,4.754801029973564,1.3795945715352635,1.7709282990147417,5.581645636958947,2.011469505567872,11.583777638413126,21.01317899287974,8.07034465070401,7.7198592153846155,12.577512684766214,5.383408911888113,8.636415811599232,16.83329635131953,6.012434720523003
GIS,2.676828725015196,11.082128417206329,4.172876550879818,1.9520310523333477,8.63028921910707,3.144861666843432,1.831662303426275,6.952098837762333,2.742762075955804,2.039938288041711,6.017778768663863,2.7848688523853906,1.4052712513701227,4.522046162014185,1.9561317386366863,1.4787024477869775,3.9704860933133035,1.9821814109925828,1.7332235297410234,9.305907207084676,3.1076364304558437,1.1079835906589786,6.510098094221324,2.12632334211016,1.3328301342925772,6.649701628681274,2.2663082819188185,11.215167488606694,29.93837449648062,12.82153215579349,7.791465397661541,23.18582090377074,10.891118509426569,8.066786767638245,18.940009939537752,6.765739016225229
CTIPe,4.562670006723682,14.472688328513396,5.128255224325224,3.4618803117715755,12.748474644221671,3.3984429601419164,2.972093924697575,6.850919770361133,3.8405191175778337,2.6738584067376885,7.986909202846238,3.3002692861127536,1.7416927590697544,5.793452836610106,2.2263734489606084,2.028798933429777,5.497874393298218,2.4361934706879147,3.6970851776736326,12.069299434506458,3.9252037252809937,2.7085636537340596,10.130178056308281,2.2497136101139596,2.5163707486467235,6.56105794725729,3.216521872679837,11.209946269743574,43.09293321229503,7.529384304775542,7.947006315481117,35.632959359812304,4.730060909090909,7.906199212784939,24.234130892220687,5.858169663409412
SAMI3-TIEGCM,3.1782697151355,11.136093926139324,5.258514311159393,2.457906635852475,9.387881202810746,4.2722493974010165,2.0149673326334274,5.990014562061578,3.065918760677592,2.206107210188863,7.185793450398482,2.8933678971817156,1.5667603905229466,5.634834418924619,2.0810173609869946,1.553116512543625,4.459178016528625,2.010210071537913,2.2879006445429857,8.507464982003006,4.390944656019529,1.704221137204988,6.5065619937029515,3.369451095153732,1.5264729525294385,5.481022846340606,2.8155273555044262,8.08561630787522,30.611692670414854,16.50154116639994,3.8281821999481993,22.899086437527615,13.4228119130701,7.12195283066221,20.315205351523506,9.59838430220083
SAMI3-HWM,6.27478113791297,10.875101975325942,10.81204688821842,5.610879770542971,8.602003912854755,9.507151051354441,2.8090757428770172,6.653823837235979,5.149217105518456,2.850628141649796,6.518069351254969,4.396953976342769,2.2302241442318627,5.21449819925498,3.516094104775098,1.775438275032682,3.910784652436893,2.6401300188517762,5.589883498494636,8.705321068517167,9.877608700639907,4.910463506036549,5.990575260201008,8.336862206488954,2.670982156927646,6.316298200515591,5.297535482936691,30.100858236648833,26.747004960239394,41.84696267720291,27.33725225299146,19.118299936316408,34.61730073411033,12.599059720437214,18.70542386282959,23.511928359693876
SAMI3-WACCMX,9.570853298846632,18.27446582135405,10.425736038187061,8.36197287886908,15.417689298016974,8.553152626822927,4.6560329080775755,9.810757247310232,5.961505856763407,3.0554336519452314,11.103970930049545,4.8534366262589455,2.122848766978017,8.843202526019923,3.609470635785904,2.19754133385001,6.715351033205947,3.244621520996109,9.070036277028004,14.514059757368097,9.227140665061988,7.916141476685805,11.083753914734144,7.216780471408941,4.427218335218931,9.370609894668947,5.7496264644175925,41.01837733687704,44.62472338368671,34.02569119430987,37.15245308717949,35.86468687782806,28.672157240093245,17.383972761004742,26.55353408166045,18.320891366140053
TIEGCM-Weimer,4.811794477575021,13.540708881082159,5.2542683279736835,4.0827993727407375,12.162310610836805,3.754520813806737,2.54639262023148,5.952226273231205,3.675718857725569,2.305408266718358,8.601051533266908,3.5761083969285714,1.6904039075071138,6.877968226274287,2.5160006320785038,1.5676230113576508,5.164459367278859,2.541316998322645,4.22355996976107,10.458140825419415,3.8495174237512315,3.4898012159635234,8.57105684953842,2.364710612857039,2.3790221292009153,5.99246977516656,3.037585902193651,12.38666292021906,37.30720405544316,13.649228118760409,9.738812033235579,32.35083552858906,10.364287103708412,7.654081165001817,18.58092879908468,8.881609148677011
